join_date,last_purchase_date,age,gender,location,number_of_site_visits,number_of_emails_opened,number_of_clicks,transaction_id,transaction_amount,campaign_id,AvgOrderVal,customer_lifespan_days,Customerlifetime_Years,recency,frequency,monetary,r_rank,f_rank,m_rank,rfm_score,rfm_segment
2022-03-27,2023-12-31,58,1,Riceland,305,78,57,17,10998,1.0,647,644,2,193,17,10997.99,4,4,4,444,Others
2023-05-06,2023-08-15,25,0,South Laura,43,13,1,2,859,2.0,429,101,1,340,2,858.89,3,1,1,311,Others
2023-12-01,2024-02-05,40,1,Gabrielleburgh,2,4,5,5,2964,2.0,593,66,1,152,5,2964.38,4,1,1,411,Others
2020-04-17,2021-06-14,25,1,East Brianborough,44,64,28,19,13999,3.0,737,423,2,1123,19,13999.48,1,4,5,145,Big Spenders
2021-03-11,2023-06-05,25,1,New Nicholasville,166,134,3,8,4529,1.0,566,816,3,417,8,4529.17,3,2,2,322,Others
2020-12-26,2021-02-03,22,1,West Scottview,2,6,1,18,8526,2.0,474,39,1,1246,18,8525.57,1,4,3,143,Others
2023-04-07,2024-05-17,20,0,New Michael,187,39,30,10,6548,3.0,655,406,2,73,10,6547.69,5,2,3,523,Loyal Customers
2021-01-29,2023-03-04,26,0,West Matthew,381,72,31,20,11258,2.0,563,764,3,495,20,11258.04,3,4,4,344,Others
2022-08-13,2023-11-15,61,1,Craigview,161,52,23,11,4643,1.0,422,459,2,241,11,4642.9400000000005,4,3,2,432,Others
2020-08-04,2023-03-10,48,1,Lebury,460,154,71,2,2125,3.0,1063,948,3,493,2,2125.01,3,1,1,311,Others
2023-05-21,2023-07-21,20,0,Jenningsstad,3,10,5,3,2939,3.0,980,61,1,354,3,2938.91,3,1,1,311,Others
2023-05-26,2023-11-18,65,1,Wrighthaven,85,18,6,16,11494,,718,176,1,232,16,11494.4,4,4,4,444,Others
2021-09-04,2023-04-11,33,1,Moorehaven,189,97,51,11,3920,2.0,356,584,2,470,11,3920.21,3,3,2,332,Others
2022-04-11,2023-05-03,64,0,Maryland,133,55,21,1,758,,758,387,2,771,1,757.81,2,1,1,211,Others
2020-02-19,2021-09-14,20,0,North Cameron,51,23,23,9,3742,,416,573,2,1110,9,3741.73,1,2,2,122,Others
2020-08-04,2023-05-21,47,0,Port Tracyton,279,142,18,24,16135,,672,1020,3,440,24,16134.7,3,5,5,355,Frequent Customers
2022-02-08,2022-05-25,59,0,South Dawnview,33,4,1,14,6010,,429,106,1,772,14,6009.87,2,3,2,232,Others
2021-12-22,2023-01-21,54,1,Hillview,188,52,2,17,12466,1.0,733,395,2,546,17,12466.27,2,4,5,245,Big Spenders
2022-03-05,2024-01-08,56,0,Jennifershire,140,17,49,5,2706,2.0,541,674,2,228,5,2706.25,4,1,1,411,Others
2021-08-08,2023-04-29,44,1,Port Christopher,132,21,4,2,483,1.0,242,629,2,821,2,483.07,1,1,1,111,At Risk
2022-07-26,2023-03-31,37,1,Seanland,20,9,7,13,7449,1.0,573,248,1,520,13,7448.71,2,3,3,233,Others
2023-06-19,2024-04-05,26,0,North Kelsey,24,44,8,2,796,,398,291,1,253,2,795.54,4,1,1,411,Others
2023-06-17,2024-04-22,54,1,North Karen,34,54,25,12,7185,,599,310,1,87,12,7184.76,5,3,3,533,Loyal Customers
2023-02-27,2024-03-30,25,1,Tammybury,101,37,37,13,7710,1.0,593,397,2,96,13,7710.39,5,3,3,533,Loyal Customers
2022-12-11,2023-01-26,25,1,East Mathewshire,6,4,1,12,5311,1.0,443,46,1,525,12,5311.15,2,3,2,232,Others
2024-02-19,2024-05-25,27,1,Martinborough,37,2,3,3,2518,1.0,839,96,1,91,3,2518.13,5,1,1,511,Loyal Customers
2021-06-21,2024-05-28,21,0,New Dylan,371,86,5,11,8225,,748,1072,3,115,11,8225.49,5,3,3,533,Loyal Customers
2022-06-29,2024-04-21,58,0,West Reginaburgh,273,80,36,19,12616,1.0,664,662,2,75,19,12615.64,5,4,5,545,Loyal Customers
2023-04-08,2023-07-05,58,0,Lake Nancy,34,2,5,16,13066,,817,88,1,365,16,13066.470000000001,3,4,5,345,Big Spenders
2020-02-18,2022-12-15,19,1,South Michaelshire,464,99,4,21,14952,,712,1031,3,602,21,14951.67,2,5,5,255,Frequent Customers
2020-02-11,2023-12-03,23,0,Lake Patriciaberg,244,94,119,12,9138,,762,1391,4,285,12,9138.08,4,3,4,434,Others
2021-10-07,2023-09-07,66,1,Port Christopherview,295,76,54,19,12260,1.0,645,700,2,355,19,12260.42,3,4,5,345,Big Spenders
2020-06-17,2023-05-29,31,1,East Nicole,95,181,9,20,14606,2.0,730,1076,3,511,20,14606.27,2,4,5,245,Big Spenders
2022-11-04,2024-05-15,21,0,Davidville,206,100,3,24,13368,,557,558,2,50,24,13368.2,5,5,5,555,Best Customers
2023-03-23,2024-05-06,50,0,Lambview,42,35,18,23,10258,1.0,446,410,2,74,23,10257.8,5,5,4,554,Loyal Customers
2021-03-12,2021-12-21,25,0,Petersonberg,86,10,21,7,3578,3.0,511,284,1,969,7,3578.2999999999997,1,2,2,122,Others
2021-05-23,2023-03-03,60,1,West Jonathanstad,66,33,63,12,4366,2.0,364,649,2,535,12,4365.53,2,3,2,232,Others
2023-12-29,2024-03-06,25,1,Port Andreatown,10,6,4,15,11385,2.0,759,68,1,122,15,11384.81,5,3,4,534,Loyal Customers
2023-10-14,2024-03-18,25,0,Rothberg,6,10,13,19,9683,,510,156,1,119,19,9683.29,5,4,4,544,Loyal Customers
2020-03-02,2020-08-29,55,0,North Jose,15,24,14,3,1241,,414,180,1,1527,3,1241.29,1,1,1,111,At Risk
2020-01-30,2024-05-28,49,1,Jefferyburgh,307,70,58,16,8851,3.0,553,1580,5,117,16,8851.28,5,4,3,543,Loyal Customers
2020-10-28,2022-09-10,46,1,Brianaborough,326,111,40,7,7180,2.0,1026,682,2,880,7,7180.06,1,2,3,123,Others
2023-08-08,2024-04-13,65,0,East Seantown,41,40,7,2,861,1.0,430,249,1,225,2,860.73,4,1,1,411,Others
2023-09-29,2023-12-01,45,0,Griffithbury,18,7,4,13,6925,2.0,533,63,1,220,13,6925.400000000001,4,3,3,433,Others
2024-04-20,2024-05-11,62,0,Brianville,8,2,1,12,7620,1.0,635,21,1,55,12,7620.150000000001,5,3,3,533,Loyal Customers
2020-09-06,2023-09-03,37,0,Valerieport,316,102,88,8,5478,1.0,685,1092,3,454,8,5478.11,3,2,2,322,Others
2023-12-18,2024-01-25,38,0,New Mollyville,3,1,2,2,924,3.0,462,38,1,166,2,924.27,4,1,1,411,Others
2023-09-12,2024-01-31,22,1,Connershire,25,17,6,20,8603,2.0,430,141,1,157,20,8602.84,4,4,3,443,Others
2024-02-11,2024-04-27,48,0,East Edward,8,6,1,14,7331,,524,76,1,71,14,7331.34,5,3,3,533,Loyal Customers
2022-04-05,2023-02-21,18,0,Carlamouth,128,31,30,9,5175,2.0,575,322,1,539,9,5174.89,2,2,2,222,Others
2022-06-30,2022-11-24,37,1,Lake Mercedes,11,10,2,15,11608,1.0,774,147,1,588,15,11608.24,2,3,4,234,Others
2024-04-30,2024-05-25,43,0,South Adammouth,6,1,1,20,10796,2.0,540,25,1,39,20,10795.72,5,4,4,544,Loyal Customers
2020-08-03,2020-08-17,25,1,Jenniferfurt,2,1,1,23,15801,,687,14,1,1415,23,15801.17,1,5,5,155,Frequent Customers
2020-11-09,2023-06-29,41,1,Haleview,460,75,7,6,3224,2.0,537,962,3,623,6,3223.76,2,1,2,212,Others
2021-04-12,2024-05-11,47,1,Lake Megan,429,209,29,10,4198,1.0,420,1125,4,100,10,4198.08,5,2,2,522,Loyal Customers
2020-08-23,2023-12-13,68,0,Rileyville,316,156,87,2,226,,113,1207,4,543,2,226.44,2,1,1,211,Others
2022-07-19,2023-11-10,25,1,North Thomas,238,35,14,12,7070,3.0,589,479,2,241,12,7070.08,4,3,3,433,Others
2021-11-26,2022-12-16,25,1,Port Robert,124,68,14,10,7570,,757,385,2,607,10,7569.860000000001,2,2,3,223,Others
2020-07-10,2023-10-15,60,0,East Steventown,446,109,69,5,3164,1.0,633,1192,4,300,5,3164.0299999999997,3,1,2,312,Others
2022-11-28,2022-12-25,21,1,Mistyberg,3,2,1,17,9973,,587,27,1,555,17,9972.81,2,4,4,244,Others
2021-09-07,2022-04-14,31,0,West Anthonyberg,92,8,9,4,2826,,707,219,1,862,4,2826.2000000000003,1,1,1,111,At Risk
2021-07-10,2023-10-25,52,0,East Rebecca,263,37,41,13,10512,1.0,809,837,3,254,13,10511.99,4,3,4,434,Others
2024-02-19,2024-04-12,48,1,Juliemouth,3,3,3,24,13061,2.0,544,53,1,82,24,13060.88,5,5,5,555,Best Customers
2020-08-08,2021-06-21,66,1,Greeneberg,62,2,29,4,1199,1.0,300,317,1,1121,4,1198.67,1,1,1,111,At Risk
2022-12-09,2023-04-30,59,1,Lake Marissaton,2,14,4,25,13846,2.0,554,142,1,429,25,13846.17,3,5,5,355,Frequent Customers
2022-04-22,2023-07-03,18,0,Stevenside,42,69,3,11,7452,1.0,677,437,2,407,11,7451.58,3,3,3,333,Others
2023-08-07,2023-12-13,67,1,Longton,18,20,6,3,643,1.0,214,128,1,240,3,642.8199999999999,4,1,1,411,Others
2022-08-08,2024-04-21,19,0,Port Stevenville,43,52,23,7,4475,2.0,639,622,2,133,7,4474.57,5,2,2,522,Loyal Customers
2022-09-10,2023-08-26,24,1,Smithfort,117,45,5,18,12398,1.0,689,350,1,328,18,12398.49,3,4,5,345,Big Spenders
2020-07-01,2023-07-19,25,1,South Davidton,555,157,69,14,7148,2.0,511,1113,4,391,14,7147.92,3,3,3,333,Others
2021-10-15,2024-05-30,26,1,Williamsside,409,27,12,19,7773,1.0,409,958,3,103,19,7772.73,5,4,3,543,Loyal Customers
2022-11-18,2023-03-31,28,1,East Brooke,43,2,5,9,6647,1.0,739,133,1,474,9,6646.7,3,2,3,323,Others
2020-08-29,2023-11-25,20,0,East John,507,127,33,14,7112,3.0,508,1183,4,236,14,7112.0,4,3,3,433,Others
2022-12-27,2023-07-18,38,0,East Noah,31,20,15,15,6690,2.0,446,203,1,357,15,6689.59,3,3,3,333,Others
2023-03-27,2023-09-04,25,1,Buckleychester,25,2,10,16,8883,1.0,555,161,1,309,16,8883.02,3,4,3,343,Others
2024-05-27,2024-05-31,60,0,Jimenezland,1,1,1,19,11213,1.0,590,4,1,32,19,11212.55,5,4,4,544,Loyal Customers
2023-09-01,2023-10-19,50,1,Dawnhaven,5,1,1,16,11818,,739,48,1,258,16,11817.87,4,4,4,444,Others
2022-08-16,2024-05-18,55,0,Laneland,134,4,15,6,2202,,367,641,2,81,6,2201.9300000000003,5,1,1,511,Loyal Customers
2023-10-11,2023-11-09,37,1,Traceyborough,8,3,1,14,9176,1.0,655,29,1,237,14,9176.13,4,3,4,434,Others
2023-01-04,2024-01-06,48,0,Port Wandaton,72,32,35,19,12148,2.0,639,367,2,182,19,12147.51,4,4,5,445,Big Spenders
2021-01-08,2023-10-25,37,0,East Joseph,140,84,1,13,6221,1.0,479,1020,3,373,13,6221.22,3,3,3,333,Others
2022-06-05,2022-10-01,41,1,Susanland,51,9,4,2,549,,274,118,1,667,2,549.0,2,1,1,211,Others
2020-01-12,2020-08-24,47,0,Lake Katieborough,35,7,8,5,1372,1.0,274,225,1,1503,5,1372.28,1,1,1,111,At Risk
2022-09-03,2023-08-22,65,1,Kevinmouth,101,29,23,11,6181,2.0,562,353,1,319,11,6180.8,3,3,3,333,Others
2021-07-20,2024-02-13,32,1,Georgeberg,216,136,47,8,4201,1.0,525,938,3,169,8,4200.530000000001,4,2,2,422,Others
2022-08-29,2023-01-01,25,0,Andrewton,13,21,9,17,8818,3.0,519,125,1,550,17,8818.369999999999,2,4,3,243,Others
2024-02-29,2024-03-07,46,0,Johnville,2,1,1,2,1503,1.0,752,7,1,118,2,1503.15,5,1,1,511,Loyal Customers
2023-06-17,2023-09-17,25,1,Williamston,30,12,4,3,2899,,966,92,1,306,3,2899.38,3,1,1,311,Others
2022-11-03,2023-06-24,61,0,Youngton,80,43,20,6,3685,2.0,614,233,1,449,6,3685.41,3,1,2,312,Others
2021-06-06,2023-11-12,35,1,New Michael,282,100,6,4,1741,1.0,435,889,3,634,4,1741.02,2,1,1,211,Others
2022-08-27,2022-11-04,66,1,Lake Wendy,19,8,4,13,7819,,601,69,1,618,13,7819.2699999999995,2,3,3,233,Others
2022-10-17,2023-08-13,61,0,Reidborough,9,49,2,20,11218,2.0,561,300,1,327,20,11217.91,3,4,4,344,Others
2022-09-23,2022-11-02,64,0,Grayhaven,4,3,2,25,18623,1.0,745,40,1,608,25,18623.38,2,5,5,255,Frequent Customers
2022-01-23,2023-02-27,29,0,Chapmanchester,13,8,35,15,8558,3.0,571,400,2,582,15,8558.18,2,3,3,233,Others
2022-04-28,2022-10-27,61,0,New Elizabeth,10,19,6,18,11785,2.0,655,182,1,616,18,11785.38,2,4,4,244,Others
2021-10-21,2024-03-30,58,1,West Elizabethfort,346,152,57,2,480,1.0,240,891,3,750,2,480.09000000000003,2,1,1,211,Others
2020-06-05,2020-07-16,34,1,Reynoldsmouth,3,4,1,14,11618,3.0,830,41,1,1452,14,11618.43,1,3,4,134,Others
2021-08-03,2023-06-24,25,0,Anneville,159,76,39,3,1672,1.0,557,690,2,504,3,1672.0,2,1,1,211,Others
2024-03-17,2024-05-27,49,1,Lake Ericchester,1,3,5,18,8801,,489,71,1,39,18,8800.98,5,4,3,543,Loyal Customers
2023-10-14,2024-04-18,28,0,Port Joshuafort,52,31,15,12,6448,1.0,537,187,1,97,12,6447.64,5,3,3,533,Loyal Customers
2024-03-20,2024-05-05,27,0,North Brian,2,2,1,19,12277,3.0,646,46,1,60,19,12276.68,5,4,5,545,Loyal Customers
2021-08-11,2023-06-07,68,0,Allenshire,165,46,40,13,8702,2.0,669,665,2,424,13,8701.96,3,3,3,333,Others
2023-01-14,2024-04-06,26,1,North Christopher,67,47,9,18,11315,2.0,629,448,2,88,18,11315.19,5,4,4,544,Loyal Customers
2023-07-26,2023-10-30,54,1,Sheenafurt,25,9,6,3,1720,1.0,573,96,1,288,3,1720.31,4,1,1,411,Others
2022-09-24,2024-02-21,68,1,Jamesmouth,102,3,10,14,10613,3.0,758,515,2,176,14,10613.07,4,3,4,434,Others
2020-06-24,2023-05-12,35,0,Robertbury,120,179,59,23,17916,1.0,779,1052,3,430,23,17916.32,3,5,5,355,Frequent Customers
2023-01-27,2023-05-05,64,0,Jesusbury,31,15,8,19,13213,,695,98,1,428,19,13213.1,3,4,5,345,Big Spenders
2023-02-18,2024-01-06,25,0,North Hannahton,141,60,16,22,12531,1.0,570,322,1,187,22,12530.8,4,5,5,455,Frequent Customers
2023-03-06,2024-05-02,47,0,North Kimberlyfurt,201,54,13,22,13654,,621,423,2,82,22,13653.62,5,5,5,555,Best Customers
2022-11-23,2023-10-14,34,1,Thompsonbury,114,16,18,21,17394,2.0,828,325,1,267,21,17394.11,4,5,5,455,Frequent Customers
2022-08-03,2024-01-08,25,1,Ritaland,134,74,38,2,2088,3.0,1044,523,2,206,2,2088.2200000000003,4,1,1,411,Others
2020-06-28,2024-01-27,50,0,Port Timothy,307,239,113,20,13553,1.0,678,1308,4,408,20,13553.35,3,4,5,345,Big Spenders
2023-02-06,2024-05-31,54,1,Port Terri,2,36,22,9,2741,1.0,305,480,2,65,9,2740.68,5,2,1,521,Loyal Customers
2020-01-18,2021-04-29,66,0,West Erin,171,4,45,6,2439,3.0,406,467,2,1356,6,2438.69,1,1,1,111,At Risk
2020-08-17,2022-04-03,25,1,Escobarfort,207,112,58,13,9549,3.0,735,594,2,835,13,9549.22,1,3,4,134,Others
2023-04-03,2024-04-01,47,0,Waltersburgh,174,3,31,24,13958,2.0,582,364,1,106,24,13957.55,5,5,5,555,Best Customers
2020-07-02,2024-03-02,64,0,Jacksonstad,142,74,20,14,9023,1.0,645,1339,4,194,14,9023.04,4,3,3,433,Others
2021-07-09,2024-04-30,54,0,Port Kristinamouth,281,34,44,25,14134,1.0,565,1026,3,68,25,14134.25,5,5,5,555,Best Customers
2022-08-22,2024-01-15,65,0,North Kevin,228,66,7,7,4838,,691,511,2,240,7,4837.53,4,2,2,422,Others
2021-01-01,2021-09-06,33,0,Thomasville,58,39,6,18,10492,3.0,583,248,1,1041,18,10492.24,1,4,4,144,Others
2020-07-27,2021-06-26,68,0,Port Susan,160,34,2,12,6228,2.0,519,334,1,1114,12,6227.77,1,3,3,133,Others
2020-05-19,2022-01-30,63,0,South Denise,149,53,16,5,4363,2.0,873,621,2,1014,5,4363.35,1,1,2,112,Others
2023-08-10,2024-04-07,25,1,Ronaldhaven,26,7,7,9,3223,2.0,358,241,1,87,9,3222.88,5,2,2,522,Loyal Customers
2024-05-08,2024-05-18,18,1,New Jane,1,1,1,7,4236,3.0,605,10,1,45,7,4236.099999999999,5,2,2,522,Loyal Customers
2020-06-23,2023-09-20,55,0,Kaylaberg,203,95,59,3,674,1.0,225,1184,4,294,3,674.16,4,1,1,411,Others
2022-02-11,2022-06-06,24,0,Jillfort,42,20,6,17,7549,1.0,444,115,1,765,17,7549.070000000001,2,4,3,243,Others
2021-05-01,2022-03-05,25,0,New Cassie,108,53,24,9,4258,1.0,473,308,1,887,9,4257.5599999999995,1,2,2,122,Others
2020-07-29,2023-08-02,66,0,Michelleport,455,96,48,15,10194,1.0,680,1099,4,433,15,10193.8,3,3,4,334,Others
2021-05-30,2022-10-19,21,0,Haysstad,218,10,6,12,6057,1.0,505,507,2,645,12,6056.79,2,3,3,233,Others
2023-07-03,2023-12-18,67,0,West Kathryn,83,8,5,15,9363,,624,168,1,244,15,9363.470000000001,4,3,4,434,Others
2023-06-16,2024-03-24,21,0,Wilsonmouth,117,9,3,3,2318,1.0,773,282,1,248,3,2317.91,4,1,1,411,Others
2024-02-19,2024-03-15,60,1,Anneton,2,1,1,22,10947,,498,25,1,112,22,10947.08,5,5,4,554,Loyal Customers
2024-04-10,2024-04-15,25,0,South Amanda,1,1,1,5,2057,1.0,411,5,1,78,5,2056.86,5,1,1,511,Loyal Customers
2022-03-04,2024-04-13,22,0,Jeremyberg,187,150,8,7,1839,,263,771,3,290,7,1838.93,4,2,1,421,Others
2023-08-12,2024-05-30,25,0,New Andrewstad,25,14,18,1,1121,,1121,292,1,285,1,1120.66,4,1,1,411,Others
2023-12-03,2024-04-01,62,0,Port Manuelstad,1,17,5,23,13093,2.0,569,120,1,94,23,13092.52,5,5,5,555,Best Customers
2021-01-07,2022-09-19,21,1,South Andrew,231,56,28,18,8553,1.0,475,620,2,667,18,8553.48,2,4,3,243,Others
2020-02-13,2022-12-18,49,1,Port Melissa,396,104,99,9,7246,2.0,805,1039,3,624,9,7245.6900000000005,2,2,3,223,Others
2022-05-06,2023-11-23,59,0,Hamiltonbury,193,100,14,20,13063,3.0,653,566,2,226,20,13062.539999999999,4,4,5,445,Big Spenders
2023-10-14,2023-11-11,51,1,North Michael,1,1,1,11,8336,2.0,758,28,1,237,11,8336.31,4,3,3,433,Others
2023-06-17,2023-12-29,24,1,West Kimberly,19,36,7,12,10836,,903,195,1,215,12,10836.47,4,3,4,434,Others
2023-07-02,2023-07-04,25,0,Jennyland,1,1,1,24,15059,1.0,627,2,1,364,24,15059.24,3,5,5,355,Frequent Customers
2022-08-14,2022-12-09,25,1,Perezborough,19,12,8,24,14983,3.0,624,117,1,571,24,14982.85,2,5,5,255,Frequent Customers
2023-08-21,2024-01-28,60,1,Burnston,67,9,4,15,14275,,952,160,1,159,15,14275.05,4,3,5,435,Big Spenders
2022-03-27,2023-08-20,53,1,Victorchester,24,8,3,14,10926,,780,511,2,324,14,10925.67,3,3,4,334,Others
2020-04-12,2023-03-10,39,1,West John,87,85,24,1,1820,1.0,1820,1062,3,741,1,1820.43,2,1,1,211,Others
2022-05-12,2023-07-06,52,0,West Jenniferborough,165,40,9,6,4916,1.0,819,420,2,499,6,4916.35,3,1,2,312,Others
2022-11-06,2023-12-25,67,1,Stonemouth,82,76,6,21,10693,4.0,509,414,2,200,21,10692.77,4,5,4,454,Frequent Customers
2021-06-09,2024-02-20,48,0,Oneillview,159,123,22,18,9899,1.0,550,986,3,187,18,9899.17,4,4,4,444,Others
2021-10-27,2021-11-21,60,0,Port Stephenland,2,4,1,4,2661,,665,25,1,959,4,2660.63,1,1,1,111,At Risk
2023-06-09,2023-06-23,39,1,North Joseph,5,1,1,22,12417,3.0,564,14,1,375,22,12416.58,3,5,5,355,Frequent Customers
2022-05-26,2022-07-21,53,1,New Janice,18,8,1,1,170,1.0,170,56,1,750,1,169.78,2,1,1,211,Others
2023-08-26,2024-02-03,54,0,Crawfordberg,2,16,8,15,11216,2.0,748,161,1,160,15,11215.75,4,3,4,434,Others
2023-08-26,2023-11-06,67,1,West Justinbury,34,6,4,7,4122,2.0,589,72,1,253,7,4122.1,4,2,2,422,Others
2023-06-13,2023-09-18,43,0,East Virginia,40,5,1,21,14432,2.0,687,97,1,296,21,14431.869999999999,4,5,5,455,Frequent Customers
2020-04-05,2023-07-22,55,1,Chelseaview,575,217,72,25,12796,1.0,512,1203,4,364,25,12796.02,3,5,5,355,Frequent Customers
2020-09-11,2020-12-20,25,1,Jerryhaven,41,8,7,8,3653,,457,100,1,1300,8,3652.72,1,2,2,122,Others
2021-10-02,2022-06-03,33,1,North Kellyfort,39,4,20,11,9267,2.0,842,244,1,796,11,9267.369999999999,2,3,4,234,Others
2023-03-30,2023-09-20,41,1,West Theresachester,12,27,1,19,9844,1.0,518,174,1,304,19,9844.17,3,4,4,344,Others
2023-04-30,2023-11-19,30,0,Coopermouth,70,37,18,17,8517,2.0,501,203,1,231,17,8516.78,4,4,3,443,Others
2020-10-09,2022-08-09,18,1,North Paul,133,79,6,11,7634,2.0,694,669,2,695,11,7633.89,2,3,3,233,Others
2021-05-07,2023-06-21,43,1,Lake Christina,15,27,73,13,7278,,560,775,3,382,13,7278.34,3,3,3,333,Others
2020-01-14,2021-01-28,63,0,East James,105,42,12,10,5580,,558,380,2,1277,10,5579.57,1,2,2,122,Others
2021-10-01,2023-02-12,52,0,Port Heather,188,1,36,24,11003,,458,499,2,513,24,11002.66,2,5,4,254,Frequent Customers
2020-08-22,2023-11-12,31,1,Owensberg,93,30,71,14,10372,2.0,741,1177,4,245,14,10371.99,4,3,4,434,Others
2022-05-28,2023-10-13,35,1,Lake Jeremyport,132,9,10,25,17502,2.0,700,503,2,285,25,17501.96,4,5,5,455,Frequent Customers
2022-11-19,2023-03-20,60,1,West Kathleenland,48,3,1,7,4634,,662,121,1,471,7,4633.99,3,2,2,322,Others
2022-02-14,2023-01-22,22,0,North Betty,127,40,15,22,12841,2.0,584,342,1,532,22,12840.91,2,5,5,255,Frequent Customers
2023-03-09,2023-05-15,65,0,Evanston,28,5,1,10,3628,1.0,363,67,1,437,10,3627.69,3,2,2,322,Others
2021-09-18,2023-10-09,25,1,Lake Deanside,22,100,46,5,6340,1.0,1268,751,3,267,5,6340.45,4,1,3,413,Others
2021-11-03,2022-03-15,31,0,Port Christina,61,16,4,10,7499,,750,132,1,876,10,7498.88,1,2,3,123,Others
2021-10-05,2023-09-25,35,0,Brandonport,308,2,21,18,10175,3.0,565,720,2,285,18,10175.44,4,4,4,444,Others
2020-10-22,2021-07-04,22,0,West Williamtown,96,22,9,2,177,,89,255,1,1194,2,177.15,1,1,1,111,At Risk
2022-11-10,2023-05-28,45,1,Jessicashire,89,14,12,13,8149,2.0,627,199,1,442,13,8148.97,3,3,3,333,Others
2022-01-21,2023-02-20,53,0,Allenview,43,37,1,16,9316,1.0,582,395,2,571,16,9316.05,2,4,4,244,Others
2020-03-20,2021-03-18,66,0,Port Tyler,107,45,4,10,2425,1.0,242,363,1,1206,10,2424.97,1,2,1,121,Others
2023-08-19,2024-04-14,25,0,Jaredchester,66,2,10,3,877,2.0,292,239,1,168,3,877.18,4,1,1,411,Others
2022-03-02,2023-03-22,25,1,South Stephanieborough,42,28,16,15,8547,2.0,570,385,2,538,15,8547.119999999999,2,3,3,233,Others
2023-06-12,2023-12-31,42,0,Johnsonfort,97,23,2,6,4083,,680,202,1,243,6,4082.63,4,1,2,412,Others
2024-04-22,2024-05-13,42,1,Parkfurt,4,2,1,9,4375,,486,21,1,51,9,4375.3099999999995,5,2,2,522,Loyal Customers
2020-04-03,2023-05-04,37,0,Bullockburgh,511,99,29,2,1032,3.0,516,1126,4,1100,2,1031.71,1,1,1,111,At Risk
2021-02-19,2022-07-08,44,0,Maxwellmouth,33,12,19,10,5893,1.0,589,504,2,790,10,5893.2699999999995,2,2,2,222,Others
2020-09-04,2022-07-24,30,0,Jenningsfort,170,122,51,1,942,1.0,942,688,2,737,1,942.22,2,1,1,211,Others
2020-04-24,2020-05-24,35,1,Feliciashire,3,3,2,21,12444,,593,30,1,1500,21,12443.52,1,5,5,155,Frequent Customers
2020-03-04,2020-07-17,20,1,North Johnfurt,9,8,11,14,4362,2.0,312,135,1,1450,14,4361.54,1,3,2,132,Others
2024-04-02,2024-05-27,38,1,Johnville,17,5,4,7,1961,2.0,280,55,1,51,7,1961.33,5,2,1,521,Loyal Customers
2023-04-12,2023-09-27,26,1,Port Jason,45,9,9,5,1950,2.0,390,168,1,280,5,1950.08,4,1,1,411,Others
2023-11-17,2024-04-05,32,1,Andersonhaven,16,6,6,16,8526,1.0,533,140,1,89,16,8526.05,5,4,3,543,Loyal Customers
2021-10-09,2022-04-16,58,1,Colemanhaven,64,32,10,14,9273,1.0,662,189,1,822,14,9272.699999999999,1,3,4,134,Others
